Regime,Ticker,Strategy,Return,Sharpe,Buy & Hold Return
2015-2016 (choppy),SPY,MA Crossover,0.08802754490228448,0.5371183210500825,0.13440957582936086
2015-2016 (choppy),SPY,Mean Reversion,0.17877361275716752,0.9711159550654366,0.13440957582936086
2017-2019 (calm bull),SPY,MA Crossover,0.29146916523090427,0.9967527005826828,0.5125249608712954
2017-2019 (calm bull),SPY,Mean Reversion,0.11304869532209194,0.4557502085714249,0.5125249608712954
2020 (COVID crash/recovery),SPY,MA Crossover,0.27554452674781316,1.6859120302808699,0.17235226494535083
2020 (COVID crash/recovery),SPY,Mean Reversion,-0.10741348254597638,-0.26559994362440764,0.17235226494535083
2021 (melt-up),SPY,MA Crossover,0.14834184402737938,1.3872761451716338,0.30505473990535314
2021 (melt-up),SPY,Mean Reversion,0.0952038601262859,1.624959978073164,0.30505473990535314
2022 (rate-hike selloff),SPY,MA Crossover,-0.1726625417573746,-1.4511456221221102,-0.18646396226813566
2022 (rate-hike selloff),SPY,Mean Reversion,0.035632279119112154,0.29921145483520317,-0.18646396226813566
2023 (AI rally),SPY,MA Crossover,0.12579349078025737,1.623149133986271,0.2670919564399501
2023 (AI rally),SPY,Mean Reversion,0.10606965863285733,1.8323668265021273,0.2670919564399501
2015-2016 (choppy),AAPL,MA Crossover,-0.10650308717337942,-0.3008716676109791,0.10138276265779256
2015-2016 (choppy),AAPL,Mean Reversion,-0.06721242229505708,-0.13726918517161132,0.10138276265779256
2017-2019 (calm bull),AAPL,MA Crossover,0.6264444653367927,0.9977446066527892,1.6465958223692132
2017-2019 (calm bull),AAPL,Mean Reversion,-0.1898070981192186,-0.3959133918956779,1.6465958223692132
2020 (COVID crash/recovery),AAPL,MA Crossover,0.7208347074555232,2.1339120365186934,0.7823993956576816
2020 (COVID crash/recovery),AAPL,Mean Reversion,-0.041403899885468665,0.03657872823263374,0.7823993956576816
2021 (melt-up),AAPL,MA Crossover,0.1707786208583404,1.0222327382529488,0.38060933497938265
2021 (melt-up),AAPL,Mean Reversion,-0.01729792788796669,-0.06999338101523427,0.38060933497938265
2022 (rate-hike selloff),AAPL,MA Crossover,-0.22234513123221533,-1.3763454149952556,-0.2819947223536792
2022 (rate-hike selloff),AAPL,Mean Reversion,0.07407998028015772,0.44421126534040034,-0.2819947223536792
2023 (AI rally),AAPL,MA Crossover,0.18517446416483296,1.38916927823051,0.5479824193929825
2023 (AI rally),AAPL,Mean Reversion,0.05066973822492438,0.8795404209204332,0.5479824193929825
2015-2016 (choppy),MSFT,MA Crossover,-0.06166671224986375,-0.09473090974104287,0.40255039545278315
2015-2016 (choppy),MSFT,Mean Reversion,0.3699683463950778,1.4122391806051136,0.40255039545278315
2017-2019 (calm bull),MSFT,MA Crossover,1.1795186540404332,1.526980664995645,1.6595921880802278
2017-2019 (calm bull),MSFT,Mean Reversion,0.46172793564812964,1.2367685195594147,1.6595921880802278
2020 (COVID crash/recovery),MSFT,MA Crossover,0.22310450229712497,0.9671064587982046,0.3994285516360614
2020 (COVID crash/recovery),MSFT,Mean Reversion,0.049499326975653846,0.3107283666010506,0.3994285516360614
2021 (melt-up),MSFT,MA Crossover,0.1643685756652089,1.037459544193416,0.5578991553704518
2021 (melt-up),MSFT,Mean Reversion,0.0825547015344037,0.8024460897941462,0.5578991553704518
2022 (rate-hike selloff),MSFT,MA Crossover,-0.3035374775887357,-2.277525925212896,-0.27687178219544517
2022 (rate-hike selloff),MSFT,Mean Reversion,0.43534178931251977,1.7167158200606185,-0.27687178219544517
2023 (AI rally),MSFT,MA Crossover,0.3491428062614246,1.689626049467689,0.5834973168393662
2023 (AI rally),MSFT,Mean Reversion,0.10276482648736507,1.1844899781967346,0.5834973168393662
2015-2016 (choppy),NVDA,MA Crossover,2.457947724360927,1.8647102936323887,4.442301719464335
2015-2016 (choppy),NVDA,Mean Reversion,0.3824467844486572,1.088622921346885,4.442301719464335
2017-2019 (calm bull),NVDA,MA Crossover,0.9540506633998731,0.9005892688763577,1.3311533602058145
2017-2019 (calm bull),NVDA,Mean Reversion,-0.2219043011991626,-0.17243769033283182,1.3311533602058145
2020 (COVID crash/recovery),NVDA,MA Crossover,0.6069224330327561,1.3375583231755415,1.1802415636311596
2020 (COVID crash/recovery),NVDA,Mean Reversion,0.28765563777060965,0.9445881349833336,1.1802415636311596
2021 (melt-up),NVDA,MA Crossover,0.5068092614516047,1.3215033152147388,1.2447625455338618
2021 (melt-up),NVDA,Mean Reversion,0.3783520073801092,1.6492213145162846,1.2447625455338618
2022 (rate-hike selloff),NVDA,MA Crossover,-0.5440433575953978,-2.3642714902669293,-0.5143698300850676
2022 (rate-hike selloff),NVDA,Mean Reversion,-0.17080010840690618,-0.338088714711043,-0.5143698300850676
2023 (AI rally),NVDA,MA Crossover,0.770854812191347,1.6962075422872764,2.4609830908333943
2023 (AI rally),NVDA,Mean Reversion,0.29227639107338255,1.9962839787777702,2.4609830908333943
2015-2016 (choppy),AMD,MA Crossover,1.6048732128815035,1.063143629295306,3.247190947023575
2015-2016 (choppy),AMD,Mean Reversion,0.5011187783890609,0.657071385315257,3.247190947023575
2017-2019 (calm bull),AMD,MA Crossover,1.5156656058283917,0.9519122406591057,3.012248415215274
2017-2019 (calm bull),AMD,Mean Reversion,0.4569526990548083,0.5801324714371022,3.012248415215274
2020 (COVID crash/recovery),AMD,MA Crossover,0.2626780911399711,0.7883262210944221,0.8678208133307737
2020 (COVID crash/recovery),AMD,Mean Reversion,0.13105619206749575,1.3493489764207962,0.8678208133307737
2021 (melt-up),AMD,MA Crossover,0.3683248890216202,1.1010409708416078,0.5590464695411914
2021 (melt-up),AMD,Mean Reversion,0.06357951458785216,0.5507245155676359,0.5590464695411914
2022 (rate-hike selloff),AMD,MA Crossover,-0.47603103250096923,-2.225510360836031,-0.568889814464141
2022 (rate-hike selloff),AMD,Mean Reversion,-0.37986124915804975,-1.22630445213579,-0.568889814464141
2023 (AI rally),AMD,MA Crossover,0.34784146280854444,1.1298436103625673,1.3025618774079448
2023 (AI rally),AMD,Mean Reversion,0.44944648267253595,1.9166466017665602,1.3025618774079448
