train_start,train_end,test_end,short_window,long_window,train_sharpe,test_sharpe
2015-01-02,2018-01-02,2018-07-02,50,200,1.4222570003842834,0.0
2015-07-02,2018-07-02,2019-01-02,50,200,1.3422892617843158,0.0
2016-01-02,2019-01-02,2019-07-02,40,90,1.0907487938847555,0.35589886230596124
2016-07-02,2019-07-02,2020-01-02,5,50,1.2002955592780753,3.8832121239982835
2017-01-02,2020-01-02,2020-07-02,5,50,1.4154196305442837,2.706889287660475
2017-07-02,2020-07-02,2021-01-02,5,50,1.5562259052314251,0.5487828352553406
2018-01-02,2021-01-02,2021-07-02,5,60,1.752003604652,-0.4122624358253347
2018-07-02,2021-07-02,2022-01-02,5,50,1.4723435742679394,1.5787433060080471
2019-01-02,2022-01-02,2022-07-02,5,50,1.6366008859714964,-1.1757433190374964
2019-07-02,2022-07-02,2023-01-02,50,190,1.2766413806022128,0.0
2020-01-02,2023-01-02,2023-07-02,50,100,0.9877251572241715,3.3274128079199947
